tm,ta
2022-01-11 00:00:00,0.3
2022-01-11 01:00:00,-1.2
2022-01-11 02:00:00,-2.7
2022-01-11 03:00:00,-4.3
2022-01-11 04:00:00,-5.9
2022-01-11 05:00:00,-7.1
2022-01-11 06:00:00,-7.9
2022-01-11 07:00:00,-8.7
2022-01-11 08:00:00,-9.3
2022-01-11 09:00:00,-9.3
2022-01-11 10:00:00,-8.5
2022-01-11 11:00:00,-7.6
2022-01-11 12:00:00,-7.0
2022-01-11 13:00:00,-5.9
2022-01-11 14:00:00,-5.4
2022-01-11 15:00:00,-4.9
2022-01-11 16:00:00,-4.8
2022-01-11 17:00:00,-5.5
2022-01-11 18:00:00,-6.7
2022-01-11 19:00:00,-7.5
2022-01-11 20:00:00,-8.3
2022-01-11 21:00:00,-9.0
2022-01-11 22:00:00,-9.6
2022-01-11 23:00:00,-10.0
2022-01-12 00:00:00,-10.2
2022-01-12 01:00:00,-10.7
2022-01-12 02:00:00,-11.0
2022-01-12 03:00:00,-11.3
2022-01-12 04:00:00,-11.3
2022-01-12 05:00:00,-11.1
2022-01-12 06:00:00,-11.0
2022-01-12 07:00:00,-11.2
2022-01-12 08:00:00,-11.2
2022-01-12 09:00:00,-10.2
2022-01-12 10:00:00,-8.8
2022-01-12 11:00:00,-7.3
2022-01-12 12:00:00,-6.6
2022-01-12 13:00:00,-5.5
2022-01-12 14:00:00,-3.9
2022-01-12 15:00:00,-4.1
2022-01-12 16:00:00,-4.0
2022-01-12 17:00:00,-4.6
2022-01-12 18:00:00,-5.1
2022-01-12 19:00:00,-5.5
2022-01-12 20:00:00,-5.8
2022-01-12 21:00:00,-5.9
2022-01-12 22:00:00,-6.1
2022-01-12 23:00:00,-6.5
2022-01-13 00:00:00,-7.1
2022-01-13 01:00:00,-7.2
2022-01-13 02:00:00,-7.3
2022-01-13 03:00:00,-7.0
2022-01-13 04:00:00,-7.2
2022-01-13 05:00:00,-7.4
2022-01-13 06:00:00,-7.2
2022-01-13 07:00:00,-6.9
2022-01-13 08:00:00,-7.2
2022-01-13 09:00:00,-6.9
2022-01-13 10:00:00,-5.8
2022-01-13 11:00:00,-5.0
2022-01-13 12:00:00,-4.4
2022-01-13 13:00:00,-4.1
2022-01-13 14:00:00,-3.8
2022-01-13 15:00:00,-3.3
2022-01-13 16:00:00,-3.8
2022-01-13 17:00:00,-4.9
2022-01-13 18:00:00,-6.1
2022-01-13 19:00:00,-6.8
2022-01-13 20:00:00,-7.4
2022-01-13 21:00:00,-7.7
2022-01-13 22:00:00,-8.1
2022-01-13 23:00:00,-8.5
