ud,s_ir,h_ir,m_t,a_t
2022-01-19 10:55:00,636.0,426.0,23.2,2.9
2022-01-19 10:50:00,620.0,416.0,22.0,2.3
2022-01-19 10:45:00,604.0,404.0,20.3,2.2
2022-01-19 10:40:00,589.0,395.0,19.5,1.4
2022-01-19 10:35:00,573.0,381.0,19.8,1.4
2022-01-19 10:30:00,553.0,367.0,19.5,1.9
2022-01-19 10:25:00,542.0,360.0,18.5,1.1
2022-01-19 10:20:00,534.0,353.0,17.6,0.6
2022-01-19 10:15:00,525.0,345.0,16.7,0.5
2022-01-19 10:10:00,505.0,331.0,15.6,0.4
2022-01-19 10:05:00,483.0,316.0,14.6,-0.2
2022-01-19 10:00:00,463.0,303.0,14.0,-1.1
2022-01-19 09:55:00,452.0,294.0,12.7,-1.3
2022-01-19 09:50:00,435.0,282.0,11.6,-2.0
2022-01-19 09:45:00,415.0,269.0,10.0,-2.1
2022-01-19 09:40:00,395.0,257.0,8.2,-1.9
2022-01-19 09:35:00,367.0,238.0,6.2,-2.8
2022-01-19 09:30:00,355.0,227.0,4.8,-2.5
2022-01-19 09:25:00,337.0,213.0,3.5,-3.7
2022-01-19 09:20:00,318.0,197.0,1.6,-4.3
2022-01-19 09:15:00,307.0,185.0,0.2,-4.0
2022-01-19 09:10:00,282.0,168.0,-0.7,-4.6
2022-01-19 09:05:00,259.0,156.0,-1.1,-5.5
2022-01-19 09:00:00,245.0,147.0,-1.5,-6.1
2022-01-19 08:55:00,231.0,138.0,-2.1,-6.0
2022-01-19 08:50:00,207.0,124.0,-2.9,-6.6
2022-01-19 08:45:00,183.0,110.0,-3.8,-7.8
2022-01-19 08:40:00,158.0,95.0,-4.9,-8.4
2022-01-19 08:35:00,135.0,83.0,-6.2,-8.4
2022-01-19 08:30:00,115.0,71.0,-7.2,-8.2
2022-01-19 08:25:00,94.0,61.0,-8.2,-8.5
2022-01-19 08:20:00,81.0,52.0,-9.3,-9.1
2022-01-19 08:15:00,65.0,43.0,-10.2,-9.6
2022-01-19 08:10:00,41.0,31.0,-11.1,-9.9
2022-01-19 08:05:00,27.0,24.0,-11.4,-9.5
2022-01-19 08:00:00,23.0,20.0,-11.8,-10.2
2022-01-19 07:55:00,18.0,16.0,-12.0,-11.0
2022-01-19 07:50:00,12.0,11.0,-12.1,-10.1
2022-01-19 07:45:00,7.0,7.0,-12.0,-11.1
2022-01-19 07:40:00,4.0,4.0,-12.0,-10.5
2022-01-19 07:35:00,2.0,2.0,-12.0,-10.7
2022-01-19 07:30:00,1.0,0.0,-12.0,-10.1
2022-01-19 07:25:00,0.0,0.0,-12.1,-9.4
2022-01-19 07:20:00,0.0,0.0,-12.0,-10.2
2022-01-19 07:15:00,0.0,0.0,-11.8,-10.2
2022-01-19 07:10:00,0.0,0.0,-11.7,-9.9
2022-01-19 07:05:00,0.0,0.0,-12.0,-9.5
2022-01-19 07:00:00,0.0,0.0,-12.5,-9.8
2022-01-19 06:55:00,0.0,0.0,-12.7,-10.5
2022-01-19 06:50:00,0.0,0.0,-12.7,-9.7
2022-01-19 06:45:00,0.0,0.0,-12.5,-10.2
2022-01-19 06:40:00,0.0,0.0,-12.3,-10.1
2022-01-19 06:35:00,0.0,0.0,-12.1,-10.2
2022-01-19 06:30:00,0.0,0.0,-12.1,-9.2
2022-01-19 06:25:00,0.0,0.0,-12.0,-9.3
2022-01-19 06:20:00,0.0,0.0,-12.0,-9.8
2022-01-19 06:15:00,0.0,0.0,-12.1,-9.3
2022-01-19 06:10:00,0.0,0.0,-12.3,-9.4
2022-01-19 06:05:00,0.0,0.0,-12.2,-10.0
2022-01-19 06:00:00,0.0,0.0,-12.1,-10.1
2022-01-19 05:55:00,0.0,0.0,-11.9,-10.3
2022-01-19 05:50:00,0.0,0.0,-12.0,-10.2
2022-01-19 05:45:00,0.0,0.0,-11.9,-10.0
2022-01-19 05:40:00,0.0,0.0,-11.7,-8.9
2022-01-19 05:35:00,0.0,0.0,-11.6,-9.1
2022-01-19 05:30:00,0.0,0.0,-11.7,-9.1
2022-01-19 05:25:00,0.0,0.0,-12.0,-10.0
2022-01-19 05:20:00,0.0,0.0,-12.2,-10.1
2022-01-19 05:15:00,0.0,0.0,-12.0,-9.3
2022-01-19 05:10:00,0.0,0.0,-11.7,-9.6
2022-01-19 05:05:00,0.0,0.0,-11.6,-9.6
2022-01-19 05:00:00,0.0,0.0,-11.6,-10.2
2022-01-19 04:55:00,0.0,0.0,-11.7,-9.5
2022-01-19 04:50:00,0.0,0.0,-11.7,-9.1
2022-01-19 04:45:00,0.0,0.0,-11.6,-9.2
2022-01-19 04:40:00,0.0,0.0,-11.3,-8.9
2022-01-19 04:35:00,0.0,0.0,-10.9,-9.6
2022-01-19 04:30:00,0.0,0.0,-10.8,-9.1
2022-01-19 04:25:00,0.0,0.0,-10.7,-8.5
2022-01-19 04:20:00,0.0,0.0,-10.7,-8.5
2022-01-19 04:15:00,0.0,0.0,-11.2,-9.2
2022-01-19 04:10:00,0.0,0.0,-11.4,-9.7
2022-01-19 04:05:00,0.0,0.0,-11.1,-9.6
2022-01-19 04:00:00,0.0,0.0,-11.1,-8.3
2022-01-19 03:55:00,0.0,0.0,-11.3,-8.5
2022-01-19 03:50:00,0.0,0.0,-11.5,-9.8
2022-01-19 03:45:00,0.0,0.0,-11.8,-9.0
2022-01-19 03:40:00,0.0,0.0,-11.7,-9.0
2022-01-19 03:35:00,0.0,0.0,-11.7,-9.0
2022-01-19 03:30:00,0.0,0.0,-11.6,-9.3
2022-01-19 03:25:00,0.0,0.0,-11.3,-9.6
2022-01-19 03:20:00,0.0,0.0,-11.2,-8.4
2022-01-19 03:15:00,0.0,0.0,-11.2,-8.5
2022-01-19 03:10:00,0.0,0.0,-11.4,-8.4
2022-01-19 03:05:00,0.0,0.0,-11.2,-8.4
2022-01-19 03:00:00,0.0,0.0,-11.4,-8.7
2022-01-19 02:55:00,0.0,0.0,-11.8,-9.1
2022-01-19 02:50:00,0.0,0.0,-11.9,-9.1
2022-01-19 02:45:00,0.0,0.0,-11.5,-8.8
2022-01-19 02:40:00,0.0,0.0,-11.3,-9.0
2022-01-19 02:35:00,0.0,0.0,-11.2,-8.2
2022-01-19 02:30:00,0.0,0.0,-11.2,-8.2
2022-01-19 02:25:00,0.0,0.0,-10.9,-8.1
2022-01-19 02:20:00,0.0,0.0,-10.6,-8.5
2022-01-19 02:15:00,0.0,0.0,-10.6,-8.7
2022-01-19 02:10:00,0.0,0.0,-10.6,-8.1
2022-01-19 02:05:00,0.0,0.0,-10.3,-8.3
2022-01-19 02:00:00,0.0,0.0,-10.1,-7.7
2022-01-19 01:55:00,0.0,0.0,-10.1,-8.4
