time,temperature
2022-01-18 00:00:00,0.49
2022-01-18 01:00:00,-0.23
2022-01-18 02:00:00,-0.89
2022-01-18 03:00:00,-1.49
2022-01-18 04:00:00,-2.04
2022-01-18 05:00:00,-2.56
2022-01-18 06:00:00,-3.11
2022-01-18 07:00:00,-3.61
2022-01-18 08:00:00,-3.64
2022-01-18 09:00:00,-3.23
2022-01-18 10:00:00,-2.2
2022-01-18 11:00:00,-1.18
2022-01-18 12:00:00,-0.11
2022-01-18 13:00:00,0.78
2022-01-18 14:00:00,1.42
2022-01-18 15:00:00,1.6
2022-01-18 16:00:00,1.39
2022-01-18 17:00:00,0.72
2022-01-18 18:00:00,-0.15
2022-01-18 19:00:00,-1.1
2022-01-18 20:00:00,-1.73
2022-01-18 21:00:00,-2.2
2022-01-18 22:00:00,-2.48
2022-01-18 23:00:00,-2.76
2022-01-19 00:00:00,-3.06
2022-01-19 01:00:00,-3.49
2022-01-19 02:00:00,-3.97
2022-01-19 03:00:00,-4.42
2022-01-19 04:00:00,-4.82
2022-01-19 05:00:00,-5.18
2022-01-19 06:00:00,-5.46
2022-01-19 07:00:00,-5.55
2022-01-19 08:00:00,-5.0
2022-01-19 09:00:00,-3.63
2022-01-19 10:00:00,-1.59
2022-01-19 11:00:00,0.46
2022-01-19 12:00:00,2.14
2022-01-19 13:00:00,3.33
2022-01-19 14:00:00,3.95
2022-01-19 15:00:00,4.05
2022-01-19 16:00:00,3.77
2022-01-19 17:00:00,3.24
2022-01-19 18:00:00,2.75
2022-01-19 19:00:00,2.3
2022-01-19 20:00:00,2.08
2022-01-19 21:00:00,1.81
2022-01-19 22:00:00,1.46
2022-01-19 23:00:00,0.95
2022-01-20 00:00:00,0.29
2022-01-20 01:00:00,-0.34
2022-01-20 02:00:00,-0.98
2022-01-20 03:00:00,-1.63
2022-01-20 04:00:00,-2.32
2022-01-20 05:00:00,-2.98
2022-01-20 06:00:00,-3.54
2022-01-20 07:00:00,-4.06
2022-01-20 08:00:00,-4.1
2022-01-20 09:00:00,-3.64
2022-01-20 10:00:00,-2.54
2022-01-20 11:00:00,-1.36
2022-01-20 12:00:00,-0.12
2022-01-20 13:00:00,0.89
2022-01-20 14:00:00,1.61
2022-01-20 15:00:00,1.89
2022-01-20 16:00:00,1.8
2022-01-20 17:00:00,1.26
2022-01-20 18:00:00,0.54
2022-01-20 19:00:00,-0.33
2022-01-20 20:00:00,-0.97
2022-01-20 21:00:00,-1.59
2022-01-20 22:00:00,-2.08
2022-01-20 23:00:00,-2.57
2022-01-21 00:00:00,-2.96
2022-01-21 01:00:00,-3.32
2022-01-21 02:00:00,-3.61
2022-01-21 03:00:00,-3.9
2022-01-21 04:00:00,-4.25
2022-01-21 05:00:00,-4.62
2022-01-21 06:00:00,-4.87
2022-01-21 07:00:00,-5.0
